FECHA_RESULTADO,DEPARTAMENTO,SEXO,casos_positivos
2020-04-09,CALLAO,FEMENINO,16
2020-04-09,CALLAO,MASCULINO,32
2020-04-09,CUSCO,MASCULINO,2
2020-04-09,HUANUCO,FEMENINO,4
2020-04-09,HUANUCO,MASCULINO,3
2020-04-09,ICA,FEMENINO,4
2020-04-09,ICA,MASCULINO,1
2020-04-09,JUNIN,FEMENINO,8
2020-04-09,JUNIN,MASCULINO,6
2020-04-09,LA LIBERTAD,FEMENINO,4
2020-04-09,LA LIBERTAD,MASCULINO,3
2020-04-09,LAMBAYEQUE,FEMENINO,5
2020-04-09,LAMBAYEQUE,MASCULINO,15
2020-04-09,LIMA,FEMENINO,258
2020-04-09,LIMA,MASCULINO,358
2020-04-09,LORETO,FEMENINO,1
2020-04-09,LORETO,MASCULINO,3
2020-04-09,MADRE DE DIOS,MASCULINO,1
2020-04-09,PASCO,FEMENINO,4
2020-04-09,PASCO,MASCULINO,1
2020-04-09,PIURA,FEMENINO,9
2020-04-09,PIURA,MASCULINO,17
2020-04-09,PUNO,FEMENINO,1
2020-04-09,SAN MARTIN,FEMENINO,4
2020-04-09,SAN MARTIN,MASCULINO,1
2020-04-10,ANCASH,FEMENINO,6
2020-04-10,ANCASH,MASCULINO,10
2020-04-10,AREQUIPA,FEMENINO,2
2020-04-10,AYACUCHO,MASCULINO,2
2020-04-10,CALLAO,FEMENINO,29
2020-04-10,CALLAO,MASCULINO,55
2020-04-10,CUSCO,FEMENINO,1
2020-04-10,CUSCO,MASCULINO,2
2020-04-10,HUANUCO,FEMENINO,2
2020-04-10,HUANUCO,MASCULINO,1
2020-04-10,ICA,FEMENINO,4
2020-04-10,ICA,MASCULINO,11
2020-04-10,JUNIN,MASCULINO,2
2020-04-10,LA LIBERTAD,FEMENINO,3
2020-04-10,LA LIBERTAD,MASCULINO,2
2020-04-10,LAMBAYEQUE,FEMENINO,27
2020-04-10,LAMBAYEQUE,MASCULINO,31
2020-04-10,LIMA,FEMENINO,306
2020-04-10,LIMA,MASCULINO,472
2020-04-10,LORETO,FEMENINO,4
2020-04-10,LORETO,MASCULINO,3
2020-04-10,MOQUEGUA,FEMENINO,2
2020-04-10,MOQUEGUA,MASCULINO,2
2020-04-10,PASCO,FEMENINO,1
2020-04-10,PIURA,FEMENINO,15
2020-04-10,PIURA,MASCULINO,21
2020-04-10,TUMBES,FEMENINO,1
2020-04-10,TUMBES,MASCULINO,2
2020-04-10,UCAYALI,FEMENINO,1
2020-04-10,UCAYALI,MASCULINO,2
2020-04-11,ANCASH,FEMENINO,14
2020-04-11,ANCASH,MASCULINO,11
2020-04-11,APURIMAC,MASCULINO,2
2020-04-11,AREQUIPA,FEMENINO,9
2020-04-11,AREQUIPA,MASCULINO,3
2020-04-11,CAJAMARCA,FEMENINO,1
2020-04-11,CALLAO,FEMENINO,33
2020-04-11,CALLAO,MASCULINO,252
2020-04-11,CUSCO,FEMENINO,2
2020-04-11,CUSCO,MASCULINO,4
2020-04-11,HUANCAVELICA,FEMENINO,1
2020-04-11,HUANCAVELICA,MASCULINO,1
2020-04-11,HUANUCO,FEMENINO,2
2020-04-11,HUANUCO,MASCULINO,5
2020-04-11,ICA,FEMENINO,5
2020-04-11,ICA,MASCULINO,13
2020-04-11,JUNIN,FEMENINO,4
2020-04-11,JUNIN,MASCULINO,4
2020-04-11,LA LIBERTAD,FEMENINO,6
2020-04-11,LA LIBERTAD,MASCULINO,3
2020-04-11,LAMBAYEQUE,FEMENINO,24
2020-04-11,LAMBAYEQUE,MASCULINO,43
2020-04-11,LIMA,FEMENINO,306
2020-04-11,LIMA,MASCULINO,444
2020-04-11,LORETO,FEMENINO,3
2020-04-11,LORETO,MASCULINO,10
2020-04-11,MADRE DE DIOS,FEMENINO,4
2020-04-11,MADRE DE DIOS,MASCULINO,11
2020-04-11,MOQUEGUA,FEMENINO,1
2020-04-11,MOQUEGUA,MASCULINO,2
2020-04-11,PASCO,MASCULINO,2
2020-04-11,PIURA,FEMENINO,32
2020-04-11,PIURA,MASCULINO,15
2020-04-11,PUNO,MASCULINO,1
2020-04-11,SAN MARTIN,FEMENINO,6
2020-04-11,SAN MARTIN,MASCULINO,6
2020-04-11,TUMBES,FEMENINO,16
2020-04-11,TUMBES,MASCULINO,15
2020-04-11,UCAYALI,MASCULINO,1
2020-04-12,AMAZONAS,FEMENINO,2
2020-04-12,AMAZONAS,MASCULINO,5
2020-04-12,ANCASH,FEMENINO,3
2020-04-12,ANCASH,MASCULINO,4
2020-04-12,AREQUIPA,FEMENINO,6
2020-04-12,AREQUIPA,MASCULINO,9
2020-04-12,CAJAMARCA,FEMENINO,1
2020-04-12,CALLAO,FEMENINO,9
2020-04-12,CALLAO,MASCULINO,26
2020-04-12,HUANCAVELICA,FEMENINO,2
2020-04-12,HUANUCO,FEMENINO,3
2020-04-12,HUANUCO,MASCULINO,1
2020-04-12,ICA,FEMENINO,1
2020-04-12,ICA,MASCULINO,2
2020-04-12,JUNIN,FEMENINO,1
2020-04-12,JUNIN,MASCULINO,3
2020-04-12,LA LIBERTAD,FEMENINO,1
2020-04-12,LA LIBERTAD,MASCULINO,2
2020-04-12,LAMBAYEQUE,FEMENINO,19
2020-04-12,LAMBAYEQUE,MASCULINO,33
2020-04-12,LIMA,FEMENINO,213
2020-04-12,LIMA,MASCULINO,288
2020-04-12,LORETO,FEMENINO,16
2020-04-12,LORETO,MASCULINO,7
2020-04-12,MADRE DE DIOS,FEMENINO,2
2020-04-12,MADRE DE DIOS,MASCULINO,10
2020-04-12,PIURA,FEMENINO,15
2020-04-12,PIURA,MASCULINO,17
2020-04-12,TUMBES,MASCULINO,5
2020-04-12,UCAYALI,FEMENINO,1
2020-04-12,UCAYALI,MASCULINO,1
2020-04-13,ANCASH,FEMENINO,8
2020-04-13,ANCASH,MASCULINO,11
2020-04-13,APURIMAC,FEMENINO,3
2020-04-13,APURIMAC,MASCULINO,4
2020-04-13,AREQUIPA,FEMENINO,8
2020-04-13,AREQUIPA,MASCULINO,4
2020-04-13,AYACUCHO,FEMENINO,3
2020-04-13,AYACUCHO,MASCULINO,2
2020-04-13,CAJAMARCA,FEMENINO,1
2020-04-13,CAJAMARCA,MASCULINO,3
2020-04-13,CALLAO,FEMENINO,27
2020-04-13,CALLAO,MASCULINO,243
2020-04-13,HUANCAVELICA,MASCULINO,1
2020-04-13,HUANUCO,FEMENINO,3
2020-04-13,HUANUCO,MASCULINO,2
2020-04-13,ICA,FEMENINO,8
2020-04-13,ICA,MASCULINO,19
2020-04-13,JUNIN,FEMENINO,5
2020-04-13,JUNIN,MASCULINO,3
2020-04-13,LA LIBERTAD,FEMENINO,15
2020-04-13,LA LIBERTAD,MASCULINO,8
2020-04-13,LAMBAYEQUE,FEMENINO,27
2020-04-13,LAMBAYEQUE,MASCULINO,32
2020-04-13,LIMA,FEMENINO,280
2020-04-13,LIMA,MASCULINO,413
2020-04-13,LORETO,FEMENINO,12
2020-04-13,LORETO,MASCULINO,12
2020-04-13,MADRE DE DIOS,MASCULINO,5
2020-04-13,MOQUEGUA,MASCULINO,1
2020-04-13,PASCO,MASCULINO,2
2020-04-13,PIURA,FEMENINO,10
2020-04-13,PIURA,MASCULINO,23
