FECHA_FALLECIMIENTO,DEPARTAMENTO,SEXO,defunciones
2020-04-17,CALLAO,FEMENINO,2
2020-04-17,ICA,MASCULINO,2
2020-04-17,LA LIBERTAD,MASCULINO,2
2020-04-17,LA LIBERTAD,FEMENINO,1
2020-04-17,LAMBAYEQUE,MASCULINO,12
2020-04-17,LAMBAYEQUE,FEMENINO,9
2020-04-17,LIMA,MASCULINO,57
2020-04-17,LIMA,FEMENINO,26
2020-04-17,LORETO,MASCULINO,6
2020-04-17,LORETO,FEMENINO,1
2020-04-17,PASCO,FEMENINO,1
2020-04-17,PIURA,MASCULINO,7
2020-04-17,PIURA,FEMENINO,3
2020-04-17,TUMBES,MASCULINO,1
2020-04-17,UCAYALI,MASCULINO,3
2020-04-17,UCAYALI,FEMENINO,2
2020-04-18,ANCASH,MASCULINO,2
2020-04-18,ANCASH,FEMENINO,2
2020-04-18,AREQUIPA,FEMENINO,1
2020-04-18,CALLAO,MASCULINO,11
2020-04-18,CALLAO,FEMENINO,2
2020-04-18,ICA,MASCULINO,3
2020-04-18,JUNIN,MASCULINO,1
2020-04-18,JUNIN,FEMENINO,1
2020-04-18,LA LIBERTAD,MASCULINO,2
2020-04-18,LAMBAYEQUE,MASCULINO,14
2020-04-18,LAMBAYEQUE,FEMENINO,7
2020-04-18,LIMA,MASCULINO,59
2020-04-18,LIMA,FEMENINO,26
2020-04-18,LORETO,MASCULINO,4
2020-04-18,LORETO,FEMENINO,6
2020-04-18,PIURA,MASCULINO,12
2020-04-18,PIURA,FEMENINO,2
2020-04-18,SAN MARTIN,MASCULINO,1
2020-04-18,TUMBES,MASCULINO,1
2020-04-18,TUMBES,FEMENINO,1
2020-04-18,UCAYALI,MASCULINO,4
2020-04-18,UCAYALI,FEMENINO,1
2020-04-19,ANCASH,MASCULINO,3
2020-04-19,ANCASH,FEMENINO,7
2020-04-19,APURIMAC,MASCULINO,1
2020-04-19,AREQUIPA,MASCULINO,2
2020-04-19,CAJAMARCA,MASCULINO,1
2020-04-19,CALLAO,MASCULINO,8
2020-04-19,CALLAO,FEMENINO,3
2020-04-19,ICA,MASCULINO,1
2020-04-19,ICA,FEMENINO,3
2020-04-19,JUNIN,MASCULINO,1
2020-04-19,JUNIN,FEMENINO,2
2020-04-19,LA LIBERTAD,MASCULINO,3
2020-04-19,LAMBAYEQUE,MASCULINO,12
2020-04-19,LAMBAYEQUE,FEMENINO,10
2020-04-19,LIMA,MASCULINO,73
2020-04-19,LIMA,FEMENINO,37
2020-04-19,LORETO,MASCULINO,8
2020-04-19,LORETO,FEMENINO,2
2020-04-19,PIURA,MASCULINO,11
2020-04-19,PIURA,FEMENINO,7
2020-04-19,SAN MARTIN,FEMENINO,1
2020-04-19,TUMBES,MASCULINO,1
2020-04-19,TUMBES,FEMENINO,1
2020-04-19,UCAYALI,MASCULINO,8
2020-04-19,UCAYALI,FEMENINO,2
2020-04-20,ANCASH,MASCULINO,6
2020-04-20,ANCASH,FEMENINO,2
2020-04-20,AREQUIPA,MASCULINO,2
2020-04-20,AREQUIPA,FEMENINO,2
2020-04-20,AYACUCHO,FEMENINO,1
2020-04-20,CAJAMARCA,MASCULINO,2
2020-04-20,CALLAO,MASCULINO,12
2020-04-20,CALLAO,FEMENINO,6
2020-04-20,HUANCAVELICA,MASCULINO,1
2020-04-20,ICA,MASCULINO,1
2020-04-20,ICA,FEMENINO,1
2020-04-20,LA LIBERTAD,MASCULINO,2
2020-04-20,LA LIBERTAD,FEMENINO,2
2020-04-20,LAMBAYEQUE,MASCULINO,13
2020-04-20,LAMBAYEQUE,FEMENINO,8
2020-04-20,LIMA,MASCULINO,86
2020-04-20,LIMA,FEMENINO,25
2020-04-20,LORETO,MASCULINO,6
2020-04-20,LORETO,FEMENINO,3
2020-04-20,PIURA,MASCULINO,15
2020-04-20,PIURA,FEMENINO,3
2020-04-20,PUNO,MASCULINO,1
2020-04-20,SAN MARTIN,MASCULINO,1
2020-04-20,SAN MARTIN,FEMENINO,1
2020-04-20,TUMBES,MASCULINO,1
2020-04-20,UCAYALI,MASCULINO,3
2020-04-20,UCAYALI,FEMENINO,4
2020-04-21,ANCASH,MASCULINO,3
2020-04-21,AREQUIPA,FEMENINO,1
2020-04-21,CALLAO,MASCULINO,14
2020-04-21,CALLAO,FEMENINO,9
2020-04-21,ICA,MASCULINO,4
2020-04-21,ICA,FEMENINO,2
2020-04-21,JUNIN,MASCULINO,1
2020-04-21,LA LIBERTAD,MASCULINO,1
2020-04-21,LAMBAYEQUE,MASCULINO,14
2020-04-21,LAMBAYEQUE,FEMENINO,7
2020-04-21,LIMA,MASCULINO,99
2020-04-21,LIMA,FEMENINO,28
2020-04-21,LORETO,MASCULINO,13
2020-04-21,LORETO,FEMENINO,7
2020-04-21,PIURA,MASCULINO,11
2020-04-21,PIURA,FEMENINO,3
